epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,514.932,0.93905,0.58347,1.07376,0.98312,0.98725,0.99423,0.74555,0.99536,0.55414,1.18727,0.00133076,0.00133076,0.00133076
171,517.944,0.93878,0.58223,1.03769,0.99553,0.99153,0.995,0.73895,0.9981,0.56087,1.19937,0.0013268,0.0013268,0.0013268
172,520.955,0.92449,0.58387,1.0319,0.97402,0.99153,0.99458,0.75157,0.9276,0.56611,1.15886,0.00132284,0.00132284,0.00132284
173,524.174,0.93898,0.60439,1.0494,0.98357,0.98305,0.99466,0.74434,0.94984,0.54939,1.16515,0.00131888,0.00131888,0.00131888
174,527.106,0.92978,0.59425,1.05376,0.99234,0.98305,0.99475,0.75053,0.95038,0.53922,1.17466,0.00131492,0.00131492,0.00131492
175,530.146,0.92691,0.58713,1.04424,0.9826,0.99153,0.99466,0.7315,0.95554,0.54573,1.16289,0.00131096,0.00131096,0.00131096
176,533.089,0.93946,0.585,1.01475,0.98314,0.98806,0.99458,0.74765,0.95374,0.53884,1.17031,0.001307,0.001307,0.001307
177,536.133,0.95115,0.61485,1.03982,0.99249,0.98305,0.99483,0.7454,0.93596,0.53967,1.14685,0.00130304,0.00130304,0.00130304
178,539.108,0.97093,0.59786,1.05015,0.99572,0.99153,0.995,0.7488,0.91464,0.54548,1.13082,0.00129908,0.00129908,0.00129908
179,542.138,0.98527,0.61337,1.06573,0.98311,0.98636,0.99475,0.75037,0.96321,0.54588,1.15482,0.00129512,0.00129512,0.00129512
180,545.095,0.93121,0.57726,1.02952,0.98314,0.98861,0.99415,0.75307,0.92997,0.54155,1.12778,0.00129116,0.00129116,0.00129116
181,548.046,0.94753,0.59317,1.04524,0.97315,0.99153,0.99398,0.75112,0.95351,0.54813,1.1391,0.0012872,0.0012872,0.0012872
182,551.27,0.92743,0.56897,1.04342,0.95865,0.98245,0.99292,0.74847,0.96817,0.5465,1.15923,0.00128324,0.00128324,0.00128324
183,554.28,0.89469,0.57008,1.03103,0.97546,0.99153,0.99406,0.75631,0.94456,0.52644,1.15898,0.00127928,0.00127928,0.00127928
