epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,12197.4,0.38053,0.47875,0.37654,0.99487,0.98375,0.99899,0.99475,0.85838,0.98375,0.99899,0.99475,0.84757,0.62898,0.33351,0.52387,1.08739,0.000569375,0.000569375,0.000569375
57,12414.2,0.37055,0.43817,0.37113,0.98818,0.99774,1,0.995,0.87905,0.9935,0.99576,0.99262,0.8522,0.56713,0.33806,0.48912,1.00527,0.000557,0.000557,0.000557
58,12633.2,0.3516,0.41583,0.35586,0.97319,0.99811,1,0.995,0.88209,0.99811,1,0.995,0.85837,0.54798,0.33263,0.49834,0.99476,0.000544625,0.000544625,0.000544625
59,12847.7,0.36371,0.4518,0.36748,0.97918,0.9901,0.99603,0.995,0.86727,0.98164,0.98759,0.98572,0.85013,0.58215,0.34453,0.52096,0.9902,0.00053225,0.00053225,0.00053225
60,13062.8,0.35994,0.47446,0.36597,0.98006,0.99165,0.99408,0.995,0.88154,0.98744,0.98985,0.99168,0.85845,0.5586,0.32417,0.49468,0.99627,0.000519875,0.000519875,0.000519875
61,13276.7,0.3585,0.47543,0.36344,0.97278,0.98609,1,0.99384,0.86196,0.98186,0.99576,0.99053,0.83126,0.60198,0.3514,0.47872,1.0091,0.0005075,0.0005075,0.0005075
62,13489.7,0.3615,0.44131,0.36093,0.9738,0.99487,0.99981,0.99496,0.8858,0.99487,0.99981,0.99496,0.85904,0.55556,0.32138,0.48345,1.00563,0.000495125,0.000495125,0.000495125
63,13701.4,0.36713,0.46403,0.35721,0.98812,0.99017,1,0.995,0.88595,0.99017,1,0.995,0.85109,0.55405,0.33586,0.48174,1.00703,0.00048275,0.00048275,0.00048275
64,13916,0.36,0.46923,0.36277,0.97807,0.99113,1,0.99438,0.87295,0.99113,1,0.99438,0.84568,0.58284,0.33789,0.50511,1.03779,0.000470375,0.000470375,0.000470375
65,14129.9,0.35163,0.44439,0.35592,0.97883,0.99449,0.9976,0.99496,0.89753,0.99449,0.9976,0.99496,0.87068,0.5358,0.31816,0.47196,0.99296,0.000458,0.000458,0.000458
66,14343.5,0.35797,0.43015,0.35182,0.97004,0.97796,1,0.99208,0.89619,0.97796,1,0.99208,0.86732,0.52241,0.3336,0.45635,0.99603,0.000445625,0.000445625,0.000445625
